generation,Npop,diversity,encountered,core_pop,core_size
1112,675,105,3881,444,6
1113,679,95,3883,439,4
1114,712,101,3885,467,4
1115,674,102,3887,443,5
1116,594,100,3887,376,7
1117,667,109,3888,423,5
1118,683,114,3890,441,4
1119,701,105,3891,466,6
1120,701,103,3892,489,7
1121,698,102,3893,457,5
1122,661,100,3894,429,6
1123,656,97,3897,422,4
1124,688,104,3897,452,5
1125,687,98,3897,465,5
1126,701,103,3898,460,4
1127,634,98,3898,395,5
1128,683,103,3899,465,7
1129,676,105,3901,451,7
1130,713,107,3901,462,5
1131,692,116,3903,453,6
1132,681,112,3903,437,5
1133,704,108,3905,482,8
1134,666,100,3907,416,4
1135,729,104,3911,480,5
1136,693,110,3914,446,5
1137,678,105,3914,456,8
1138,636,102,3915,399,6
1139,668,112,3916,407,4
1140,723,106,3917,489,5
1141,685,108,3918,443,6
1142,707,99,3918,470,4
1143,719,99,3920,486,4
1144,678,102,3921,447,6
1145,687,106,3924,469,7
1146,692,104,3924,456,5
1147,705,98,3925,468,6
1148,659,98,3925,411,5
1149,673,102,3925,414,4
1150,713,104,3925,477,5
1151,648,112,3927,412,7
1152,712,101,3928,455,4
1153,691,99,3929,458,6
1154,681,106,3929,433,4
1155,697,101,3929,459,5
1156,711,108,3930,475,4
1157,702,109,3931,472,5
1158,713,106,3932,471,5
1159,705,113,3932,453,5
1160,731,103,3933,489,4
1161,695,103,3933,449,4
1162,660,97,3933,434,8
1163,647,99,3933,415,5
1164,657,98,3934,424,5
1165,711,109,3934,460,5
1166,691,108,3934,453,5
1167,675,110,3935,448,6
1168,667,102,3935,413,4
1169,692,100,3935,449,6
1170,701,104,3936,454,5
1171,637,104,3937,401,7
1172,705,102,3937,449,4
1173,687,110,3938,444,4
1174,690,99,3939,449,5
1175,695,111,3939,455,5
1176,673,101,3940,449,7
1177,668,108,3942,436,5
1178,670,104,3942,426,4
1179,643,95,3942,416,4
1180,669,105,3942,445,4
1181,672,100,3942,452,6
1182,680,100,3943,460,9
1183,674,101,3944,452,6
1184,672,99,3947,439,5
1185,679,100,3948,461,7
1186,685,108,3948,454,6
1187,656,106,3950,406,4
