generation,Npop,diversity,encountered,core_pop,core_size
2879,1095,147,13182,671,4
2880,1110,134,13185,703,6
2881,1150,129,13186,740,5
2882,1221,121,13188,804,4
2883,1160,118,13188,736,4
2884,1142,122,13189,725,5
2885,1130,123,13191,691,4
2886,1136,130,13193,709,4
2887,1163,124,13194,740,4
2888,1201,127,13197,786,4
2889,1184,125,13199,784,5
2890,1136,135,13201,733,5
2891,1111,123,13202,720,5
2892,1130,124,13204,734,5
2893,1097,130,13206,659,4
2894,1192,126,13209,785,4
2895,1132,123,13209,732,5
2896,1140,122,13212,720,4
2897,1165,119,13214,784,6
2898,1149,121,13215,762,6
2899,1091,123,13215,666,4
2900,1152,122,13216,750,5
2901,1235,122,13218,829,4
2902,1201,120,13218,782,4
2903,1183,126,13220,772,4
2904,1144,129,13223,740,5
2905,1095,131,13225,670,4
2906,1169,132,13230,747,4
2907,1168,136,13232,742,4
2908,1209,132,13233,807,4
2909,1196,125,13234,780,4
2910,1209,124,13237,793,4
2911,1117,127,13238,704,4
2912,1164,134,13238,750,4
2913,1179,133,13238,761,4
2914,1135,127,13239,741,6
2915,1140,133,13241,721,4
2916,1161,130,13242,765,6
2917,1150,133,13244,714,4
2918,1174,135,13244,758,4
2919,1096,136,13246,689,5
2920,1155,131,13248,728,4
2921,1137,132,13249,732,5
2922,1148,126,13250,718,4
2923,1128,141,13252,700,4
2924,1134,125,13254,755,6
2925,1104,124,13255,720,6
2926,1111,127,13255,685,4
2927,1166,131,13256,745,4
2928,1158,124,13260,734,5
2929,1121,127,13261,682,4
2930,1138,127,13263,742,5
2931,1132,134,13265,739,5
2932,1163,140,13267,742,4
2933,1114,133,13267,696,4
2934,1149,129,13267,713,4
2935,1090,142,13270,684,5
2936,1131,134,13271,700,4
2937,1092,140,13272,669,5
2938,1149,130,13273,727,4
2939,1151,129,13274,734,4
2940,1185,127,13277,762,4
2941,1161,138,13279,733,4
2942,1149,131,13279,731,5
2943,1175,127,13281,748,4
2944,1201,123,13281,769,4
2945,1221,120,13282,823,5
2946,1123,136,13285,707,4
2947,1149,125,13288,740,4
2948,1133,123,13291,713,4
2949,1099,127,13292,701,6
2950,1163,128,13293,742,4
2951,1109,129,13295,689,5
2952,1117,137,13295,721,6
2953,1093,134,13299,661,4
2954,1142,138,13302,716,4
